6,M-B,CEZ-II Land Dev. 2nd Stage(After Oct. 2009 ),????????09?10????,2009-09-23 00:00:00,2011-06-30 00:00:00,,0
6,M-C,Sewage Treatment Plant,??????,2009-12-19 00:00:00,2011-06-30 00:00:00,,0
6,M-D,Deepwell,??,2009-12-19 00:00:00,2011-06-30 00:00:00,,0
6,M-F,Fence - extension,????-????,2009-12-19 00:00:00,2011-06-30 00:00:00,,0
6,M-G,Diversion Canal - along Bacao rd,??????????????,2010-10-13 00:00:00,2011-06-30 00:00:00,,0
6,M-H,Batching Plant in CEZ II,???????????,2011-01-20 00:00:00,2011-06-30 00:00:00,,0
6,M-I,Stockyard Roofing,???????????,2011-04-25 00:00:00,2012-11-30 00:00:00,,0
6,M-L,CEZ II - Fire Station,CEZ II - ???,2012-04-19 00:00:00,2013-01-31 00:00:00,,0
6,M-M,Walkway & Canopy from Main Gate to 5.0Ha,?????????? CEZII?????5Ha??,2012-09-01 00:00:00,2012-11-30 00:00:00,,0
6,M-P,Fire Hydrant,?????,2013-05-10 00:00:00,2013-09-30 00:00:00,,0
6,M-Q,Retaining Wall Demolish & Restoration Work (Map A),?????????????A?,2013-09-10 00:00:00,,,1
6,M-R,Retaining Wall Demolish & Restoration Work (Map B),?????????????B?,2013-09-10 00:00:00,2014-02-05 00:00:00,,0
6,M-S,Gate Renovation Work (Map F),????????????????????F?,2013-09-10 00:00:00,2013-11-30 00:00:00,,0
6,M-T,Road Elevation Changing Work(Map G),????????????G?,2013-09-10 00:00:00,2013-12-31 00:00:00,,0
6,M-V,CEZII - Temporary Facility Construction,CEZII - ????????,2014-05-22 00:00:00,2014-11-30 00:00:00,,0
6,M-J,CEZ Annex - Fence & Land Dev.,CEZ Annex - ???????????,2011-08-22 00:00:00,2013-09-30 00:00:00,,0
6,M-U,CEZ Annex - Concrete Placement,CEZ Annex - ??????????,2014-02-07 00:00:00,2014-05-31 00:00:00,,0
